cvar_05_ci_high,cvar_05_ci_low,cvar_05_mean,cvar_05_sd,cvar_05_se,cvar_15_ci_high,cvar_15_ci_low,cvar_15_mean,cvar_15_sd,cvar_15_se,mae_ci_high,mae_ci_low,mae_mean,mae_sd,mae_se,method,regime,replications,rmse_ci_high,rmse_ci_low,rmse_mean,rmse_sd,rmse_se
0.25856519256041377,0.218318822060492,0.2384420073104529,0.05389087984645815,0.009839083511901891,0.20889550008432406,0.17641944977986157,0.19265747493209281,0.043486230015417696,0.007939463040100833,0.08794560981427524,0.07436938398447326,0.08115749689937425,0.018178900255456872,0.0033189979135167186,adaptive_ridge,gradual,30,0.11045404350359113,0.0933907521051766,0.10192239780438386,0.02284816680646638,0.004171485452514136
0.2439595677705036,0.20713538870132348,0.22554747823591353,0.049308481361455964,0.009002455839330825,0.19628571195556543,0.1664998128282213,0.18139276239189336,0.039884051432502336,0.007281798218092588,0.08317484239071311,0.07022634682375674,0.07670059460723493,0.01733835399623423,0.0031655358645824435,rolling_ridge,gradual,30,0.10413050379853167,0.08814640919682723,0.09613845649767945,0.02140309575584086,0.003907652781972374
0.24152324903183536,0.2047870454771511,0.22315514725449323,0.04919067998403397,0.008980948348757758,0.1943387129023,0.16457402884437813,0.17945637087333907,0.03985564393282059,0.007276611741966583,0.08195800582275162,0.06922397610153733,0.07559099096214447,0.01705117895459718,0.0031131051151634106,rls,gradual,30,0.10278587249080542,0.08699337911128016,0.09488962580104279,0.02114653700744608,0.003860811777365336
0.25980533429213953,0.21798662137723873,0.23889597783468913,0.05599628500748474,0.010223476145029244,0.21009302049389178,0.17621266872365482,0.1931528446087733,0.045366624212961594,0.008282774479766372,0.08804130276233602,0.07412203951494128,0.08108167113863865,0.018638235793660664,0.003402860725429383,neural_gate,gradual,30,0.11083823688834964,0.09316864177220456,0.1020034393302771,0.023660022394853927,0.004319709325579632
0.2986600554378654,0.2558597670138079,0.27725991122583665,0.05731063875335334,0.01046344321008046,0.24035749734484754,0.20622601348439415,0.22329175541462085,0.0457028962576537,0.008344169074545122,0.10098655432002453,0.08669703063477817,0.09384179247740135,0.019134023625465204,0.003493378785168024,boosted_meta,gradual,30,0.12692086488097593,0.10899197159685942,0.11795641823891767,0.02400722901848183,0.004383100292205035
2.3872889461679554,0.9018404287740092,1.6445646874709823,1.9890520952474993,0.36314956687332317,1.979183927821012,0.7683926996935361,1.373788313757274,1.6212792304908614,0.2960037355181541,0.9661409772923257,0.41135061331427103,0.6887457953032984,0.74287794088593,0.13563033523207105,adaptive_ridge,abrupt,30,1.1323834958415495,0.46647648016859766,0.7994299880050736,0.8916658701090653,0.16279517027206883
0.20406836864818778,0.1571365073535957,0.18060243800089174,0.06284291643149334,0.01147349430298032,0.14191131768064014,0.11172147708809888,0.1268163973843695,0.0404249389882133,0.0073805503232048306,0.053968454620668904,0.043032555244645415,0.04850050493265716,0.014643438202393519,0.0026735138076279434,rolling_ridge,abrupt,30,0.07614175287732258,0.06017775826830724,0.06815975557281491,0.021376181371326967,0.0039027389101324982
0.19128674719311545,0.14971823885609625,0.17050249302460585,0.05566125492461857,0.010162308300419701,0.13677981179901505,0.10845522909159136,0.1226175204453032,0.037927312809233386,0.006924548257057252,0.053233360111180274,0.04255997152914678,0.047896665820163525,0.014291929793521214,0.0026093374460639065,rls,abrupt,30,0.07351251736289681,0.05860152733891612,0.06605702235090646,0.019966182336259155,0.003645309484276779
0.7981541419421739,0.5970954986577991,0.6976248202999865,0.2692224678334956,0.04915307287320485,0.6759270890783942,0.5003736394833227,0.5881503642808584,0.23507038625452267,0.04291778438435147,0.35925560708131454,0.25331819309041714,0.30628690008586584,0.14185280256859545,0.025898659937382166,neural_gate,abrupt,30,0.4082116840945018,0.29459270635806234,0.3514021952262821,0.1521386053304797,0.02777658200229315
0.9584369422199025,0.7253829045529655,0.841909923386434,0.31206508774909886,0.05697502932333683,0.8117324087105768,0.6094325504197249,0.7105824795651509,0.2708844852513843,0.04945651435011955,0.3703872041522313,0.2691275826906046,0.31975739342141796,0.13558912333466114,0.024755073800914663,boosted_meta,abrupt,30,0.4517185106936434,0.33289698348505153,0.39230774708934746,0.1591049470158639,0.02904845616375097
